Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,2317.250000,2333.729980,2314.739990,2328.840088,2328.840088,0
2020-10-08,2348.030029,2359.959961,2340.969971,2356.159912,2356.159912,0
2020-10-09,2398.879883,2403.810059,2381.070068,2398.040039,2398.040039,0
2020-10-12,2423.060059,2444.879883,2416.820068,2433.479980,2433.479980,0
2020-10-13,2438.030029,2449.169922,2418.060059,2430.129883,2430.129883,0
2020-10-14,2437.679932,2445.120117,2405.090088,2417.199951,2417.199951,0
2020-10-15,2371.189941,2416.419922,2369.169922,2411.129883,2411.129883,0
2020-10-16,2424.149902,2425.949951,2398.510010,2399.760010,2399.760010,0
2020-10-19,2418.929932,2432.889893,2379.260010,2385.850098,2385.850098,0
2020-10-20,2397.909912,2404.939941,2379.439941,2385.820068,2385.820068,0
2020-10-21,2384.120117,2394.159912,2366.340088,2367.260010,2367.260010,0
2020-10-22,2369.590088,2381.620117,2342.340088,2370.449951,2370.449951,0
2020-10-23,2355.600098,2361.219971,2338.250000,2360.229980,2360.229980,0
2020-10-26,2337.020020,2349.110107,2280.280029,2308.449951,2308.449951,0
2020-10-27,2328.050049,2331.719971,2293.020020,2300.909912,2300.909912,0
2020-10-28,2261.310059,2264.080078,2221.439941,2222.979980,2222.979980,0
2020-10-29,2220.530029,2304.419922,2219.449951,2283.649902,2283.649902,0
2020-10-30,2257.080078,2270.540039,2221.330078,2246.149902,2246.149902,0
2020-11-02,2269.399902,2281.449951,2238.709961,2260.070068,2260.070068,0
2020-11-03,2281.510010,2319.909912,2279.320068,2302.729980,2302.729980,0
2020-11-04,2345.100098,2393.790039,2322.389893,2384.219971,2384.219971,0
2020-11-05,2452.439941,2493.280029,2451.929932,2489.159912,2489.159912,0
2020-11-06,2486.919922,2537.510010,2474.600098,2529.270020,2529.270020,0
2020-11-09,2587.300049,2604.500000,2495.610107,2497.590088,2497.590088,0
2020-11-10,2474.939941,2485.580078,2417.389893,2422.330078,2422.330078,0
2020-11-11,2465.610107,2514.419922,2464.530029,2511.239990,2511.239990,0
2020-11-12,2511.219971,2521.439941,2467.159912,2478.429932,2478.429932,0
2020-11-13,2513.189941,2530.270020,2492.500000,2508.820068,2508.820068,0
2020-11-16,2529.209961,2571.989990,2524.409912,2570.979980,2570.979980,0
2020-11-17,2556.629883,2563.639893,2532.020020,2548.959961,2548.959961,0
2020-11-18,2554.639893,2572.419922,2530.250000,2530.590088,2530.590088,0
2020-11-19,2513.679932,2571.979980,2511.500000,2570.219971,2570.219971,0
2020-11-20,2577.810059,2591.929932,2553.689941,2555.500000,2555.500000,0
2020-11-23,2568.540039,2602.949951,2561.350098,2595.250000,2595.250000,0
2020-11-24,2607.379883,2612.199951,2569.530029,2609.010010,2609.010010,0
2020-11-25,2612.939941,2622.520020,2590.620117,2600.239990,2600.239990,0
2020-11-27,2625.719971,2647.639893,2625.459961,2631.560059,2631.560059,0
2020-11-30,2638.110107,2666.120117,2604.500000,2663.489990,2663.489990,0
